id,sexo,zona,macrozona,region,edad,p1_anyo,p1_mes,p2,p3,p4,p5,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5
881,2,2,1,4,64,1951,12,7,1,1,NA,2,1,5,5,7,7,7,4
882,2,2,1,4,29,1986,12,1,1,2,1,9,7,10,5,10,5,5,6
887,1,2,3,8,59,1956,10,1,2,1,NA,7,10,10,9,9,10,10,10
894,1,2,4,13,66,1949,10,1,2,1,NA,8,7,9,8,10,8,9,8
897,2,2,4,13,27,1988,5,1,3,NA,NA,7,8,10,9,8,9,6,10
899,1,2,4,13,25,1991,3,5,3,NA,NA,4,6,7,7,8,8,7,6
901,2,2,4,13,45,1970,9,1,3,NA,NA,8,8,9,8,8,9,9,9
923,2,1,3,10,24,1992,3,5,3,NA,NA,5,6,10,10,10,10,10,10
941,1,2,4,13,31,1984,5,8,2,2,3,7,6,9,8,8,5,8,5
948,1,2,4,13,31,1984,8,1,3,NA,NA,7,8,6,8,8,7,7,8
957,1,2,4,13,50,1965,5,4,2,2,2,8,8,10,10,9,10,9,10
958,2,2,4,13,21,1994,8,5,3,NA,NA,10,7,9,10,9,10,9,10
959,2,2,2,6,50,1965,5,3,2,1,NA,5,6,8,6,9,7,6,8
966,1,2,2,6,20,1996,3,5,3,NA,NA,7,8,8,7,8,9,6,5
970,2,2,3,8,64,1951,8,1,1,1,NA,10,10,10,4,10,9,9,8
971,2,2,1,4,25,1991,2,5,1,1,NA,7,9,9,7,10,7,7,7
972,2,2,1,4,52,1963,7,5,2,2,1,5,5,10,7,10,10,10,10
1006,2,2,3,8,54,1961,12,1,1,2,1,9,8,7,6,7,8,7,6
1007,2,2,3,8,46,1969,10,8,1,2,1,7,8,9,9,7,6,8,9
1022,2,1,3,8,59,1956,7,5,2,1,NA,3,2,10,10,10,10,10,10
1037,2,2,4,13,70,1946,4,7,1,1,NA,9,10,10,10,10,10,10,10
1055,2,2,3,14,23,1992,6,5,1,1,NA,10,9,5,6,10,6,5,5
1067,2,2,3,8,66,1949,11,7,3,NA,NA,6,5,9,5,8,8,9,8
1070,2,2,3,8,33,1982,12,1,3,NA,NA,8,10,10,8,10,10,9,9
1072,2,2,3,8,64,1952,3,3,1,1,NA,8,10,10,8,8,9,9,8
1073,2,2,3,8,57,1958,10,5,1,2,1,5,7,7,7,8,8,8,7
1080,1,2,3,9,57,1959,4,1,1,1,NA,10,10,9,8,9,9,5,6
1082,1,2,3,9,34,1982,1,1,1,3,1,9,9,10,8,10,9,8,8
1083,2,2,3,9,66,1949,9,1,3,NA,NA,6,8,5,7,7,8,8,8
1095,1,1,3,9,40,1976,1,8,1,3,2,8,8,10,6,10,10,10,8
1096,2,1,3,9,74,1941,12,4,3,NA,NA,5,6,8,8,7,7,8,7
1098,1,1,3,9,26,1990,3,5,3,NA,NA,5,7,10,10,10,8,7,6
1106,2,2,2,6,50,1966,3,4,1,1,NA,6,6,8,10,9,10,9,8
1117,2,1,1,4,43,1973,2,1,1,3,2,8,10,10,10,10,10,10,10
1125,2,2,1,4,52,1963,8,6,2,1,NA,7,10,88,8,6,7,8,7
1144,1,2,3,10,22,1993,4,5,3,NA,NA,6,7,7,5,9,4,7,7
1161,2,2,4,13,21,1994,7,5,3,NA,NA,6,6,7,10,9,6,9,9
1165,2,1,3,10,72,1944,4,5,3,NA,NA,1,10,10,10,10,10,10,10
1184,2,2,2,6,27,1988,8,5,3,NA,NA,5,5,5,5,5,5,4,4
1189,2,2,3,8,24,1991,11,5,3,NA,NA,10,7,5,8,8,9,8,10
1196,2,2,4,13,22,1993,11,5,1,1,NA,10,10,8,8,10,10,7,5
1207,2,1,3,8,44,1971,5,1,1,2,2,8,8,10,10,10,10,10,10
1209,2,1,3,8,23,1992,7,5,1,3,1,6,7,10,10,10,10,10,10
1210,2,1,3,8,55,1960,12,8,1,1,NA,6,7,9,9,8,9,10,9
1212,2,1,3,8,49,1966,11,1,1,2,1,6,9,9,10,10,10,10,9
1217,2,1,3,8,22,1993,12,5,3,NA,NA,9,8,10,10,10,10,10,10
