semana,interes,termino
11-03-2018,24,acoso
18-03-2018,21,acoso
25-03-2018,18,acoso
01-04-2018,15,acoso
08-04-2018,26,acoso
15-04-2018,41,acoso
22-04-2018,29,acoso
29-04-2018,54,acoso
06-05-2018,55,acoso
13-05-2018,59,acoso
20-05-2018,87,acoso
27-05-2018,100,acoso
03-06-2018,52,acoso
10-06-2018,55,acoso
17-06-2018,36,acoso
24-06-2018,42,acoso
01-07-2018,39,acoso
08-07-2018,42,acoso
15-07-2018,26,acoso
22-07-2018,23,acoso
29-07-2018,45,acoso
05-08-2018,27,acoso
12-08-2018,18,acoso
19-08-2018,78,acoso
26-08-2018,36,acoso
02-09-2018,31,acoso
09-09-2018,32,acoso
16-09-2018,14,acoso
23-09-2018,35,acoso
30-09-2018,28,acoso
07-10-2018,29,acoso
14-10-2018,33,acoso
21-10-2018,31,acoso
28-10-2018,17,acoso
04-11-2018,25,acoso
11-11-2018,28,acoso
18-11-2018,30,acoso
25-11-2018,27,acoso
02-12-2018,29,acoso
09-12-2018,29,acoso
16-12-2018,24,acoso
23-12-2018,16,acoso
30-12-2018,23,acoso
06-01-2019,17,acoso
13-01-2019,14,acoso
20-01-2019,19,acoso
02-02-2014,2,feminismo
09-02-2014,4,feminismo
16-02-2014,2,feminismo
23-02-2014,2,feminismo
02-03-2014,6,feminismo
09-03-2014,4,feminismo
16-03-2014,8,feminismo
23-03-2014,4,feminismo
30-03-2014,2,feminismo
06-04-2014,4,feminismo
13-04-2014,3,feminismo
20-04-2014,6,feminismo
27-04-2014,2,feminismo
04-05-2014,2,feminismo
11-05-2014,9,feminismo
18-05-2014,4,feminismo
25-05-2014,3,feminismo
01-06-2014,6,feminismo
08-06-2014,3,feminismo
15-06-2014,7,feminismo
22-06-2014,7,feminismo
29-06-2014,4,feminismo
06-07-2014,4,feminismo
13-07-2014,2,feminismo
20-07-2014,4,feminismo
27-07-2014,6,feminismo
03-08-2014,3,feminismo
10-08-2014,8,feminismo
17-08-2014,7,feminismo
24-08-2014,9,feminismo
31-08-2014,4,feminismo
07-09-2014,2,feminismo
14-09-2014,0,feminismo
21-09-2014,7,feminismo
28-09-2014,9,feminismo
05-10-2014,6,feminismo
12-10-2014,10,feminismo
19-10-2014,4,feminismo
26-10-2014,8,feminismo
02-11-2014,8,feminismo
09-11-2014,7,feminismo
16-11-2014,4,feminismo
23-11-2014,7,feminismo
30-11-2014,6,feminismo
07-12-2014,5,feminismo
14-12-2014,2,feminismo
21-12-2014,4,feminismo
28-12-2014,3,feminismo
