date,hits,geo,time,keyword,gprop,category
2012-11-01T00:00:00Z,19,world,all,web scraping,web,0
2012-12-01T00:00:00Z,20,world,all,web scraping,web,0
2013-01-01T00:00:00Z,18,world,all,web scraping,web,0
2013-02-01T00:00:00Z,22,world,all,web scraping,web,0
2013-03-01T00:00:00Z,22,world,all,web scraping,web,0
2013-04-01T00:00:00Z,17,world,all,web scraping,web,0
2013-05-01T00:00:00Z,21,world,all,web scraping,web,0
2013-06-01T00:00:00Z,23,world,all,web scraping,web,0
2013-07-01T00:00:00Z,23,world,all,web scraping,web,0
2013-08-01T00:00:00Z,22,world,all,web scraping,web,0
2013-09-01T00:00:00Z,27,world,all,web scraping,web,0
2013-10-01T00:00:00Z,26,world,all,web scraping,web,0
2013-11-01T00:00:00Z,23,world,all,web scraping,web,0
2013-12-01T00:00:00Z,25,world,all,web scraping,web,0
2014-01-01T00:00:00Z,29,world,all,web scraping,web,0
2014-02-01T00:00:00Z,23,world,all,web scraping,web,0
2014-03-01T00:00:00Z,22,world,all,web scraping,web,0
2014-04-01T00:00:00Z,24,world,all,web scraping,web,0
2014-05-01T00:00:00Z,26,world,all,web scraping,web,0
2014-06-01T00:00:00Z,30,world,all,web scraping,web,0
2014-07-01T00:00:00Z,30,world,all,web scraping,web,0
2014-08-01T00:00:00Z,25,world,all,web scraping,web,0
2014-09-01T00:00:00Z,32,world,all,web scraping,web,0
2014-10-01T00:00:00Z,27,world,all,web scraping,web,0
2014-11-01T00:00:00Z,24,world,all,web scraping,web,0
2014-12-01T00:00:00Z,27,world,all,web scraping,web,0
2015-01-01T00:00:00Z,34,world,all,web scraping,web,0
2015-02-01T00:00:00Z,32,world,all,web scraping,web,0
2015-03-01T00:00:00Z,34,world,all,web scraping,web,0
2015-04-01T00:00:00Z,31,world,all,web scraping,web,0
2015-05-01T00:00:00Z,36,world,all,web scraping,web,0
2015-06-01T00:00:00Z,40,world,all,web scraping,web,0
2015-07-01T00:00:00Z,38,world,all,web scraping,web,0
2015-08-01T00:00:00Z,39,world,all,web scraping,web,0
2015-09-01T00:00:00Z,29,world,all,web scraping,web,0
2015-10-01T00:00:00Z,36,world,all,web scraping,web,0
2015-11-01T00:00:00Z,32,world,all,web scraping,web,0
2015-12-01T00:00:00Z,34,world,all,web scraping,web,0
2016-01-01T00:00:00Z,32,world,all,web scraping,web,0
2016-02-01T00:00:00Z,33,world,all,web scraping,web,0
2016-03-01T00:00:00Z,39,world,all,web scraping,web,0
2016-04-01T00:00:00Z,37,world,all,web scraping,web,0
2016-05-01T00:00:00Z,45,world,all,web scraping,web,0
2016-06-01T00:00:00Z,48,world,all,web scraping,web,0
2016-07-01T00:00:00Z,46,world,all,web scraping,web,0
2016-08-01T00:00:00Z,40,world,all,web scraping,web,0
2016-09-01T00:00:00Z,43,world,all,web scraping,web,0
2016-10-01T00:00:00Z,44,world,all,web scraping,web,0
2016-11-01T00:00:00Z,44,world,all,web scraping,web,0
2016-12-01T00:00:00Z,43,world,all,web scraping,web,0
2017-01-01T00:00:00Z,40,world,all,web scraping,web,0
2017-02-01T00:00:00Z,50,world,all,web scraping,web,0
2017-03-01T00:00:00Z,57,world,all,web scraping,web,0
2017-04-01T00:00:00Z,49,world,all,web scraping,web,0
2017-05-01T00:00:00Z,47,world,all,web scraping,web,0
2017-06-01T00:00:00Z,51,world,all,web scraping,web,0
2017-07-01T00:00:00Z,52,world,all,web scraping,web,0
2017-08-01T00:00:00Z,49,world,all,web scraping,web,0
2017-09-01T00:00:00Z,52,world,all,web scraping,web,0
2017-10-01T00:00:00Z,55,world,all,web scraping,web,0
2017-11-01T00:00:00Z,55,world,all,web scraping,web,0
2017-12-01T00:00:00Z,54,world,all,web scraping,web,0
2018-01-01T00:00:00Z,57,world,all,web scraping,web,0
2018-02-01T00:00:00Z,67,world,all,web scraping,web,0
2018-03-01T00:00:00Z,65,world,all,web scraping,web,0
2018-04-01T00:00:00Z,65,world,all,web scraping,web,0
2018-05-01T00:00:00Z,62,world,all,web scraping,web,0
2018-06-01T00:00:00Z,64,world,all,web scraping,web,0
2018-07-01T00:00:00Z,56,world,all,web scraping,web,0
2018-08-01T00:00:00Z,71,world,all,web scraping,web,0
2018-09-01T00:00:00Z,59,world,all,web scraping,web,0
2018-10-01T00:00:00Z,62,world,all,web scraping,web,0
2018-11-01T00:00:00Z,67,world,all,web scraping,web,0
2018-12-01T00:00:00Z,59,world,all,web scraping,web,0
2019-01-01T00:00:00Z,68,world,all,web scraping,web,0
2019-02-01T00:00:00Z,72,world,all,web scraping,web,0
2019-03-01T00:00:00Z,75,world,all,web scraping,web,0
2019-04-01T00:00:00Z,62,world,all,web scraping,web,0
